kode,kategori,nama
1102122022,Kelurahan,Lawe Sembekan
1102122023,Kelurahan,Lawe Beringin
1102122024,Kelurahan,Lawe Ger-Ger
1102122025,Kelurahan,Simpur Jaya
110213,Kecamatan,Deleng Pokhkisen
1102132001,Kelurahan,Salang Baru
1102132002,Kelurahan,Ranto Dior
1102132003,Kelurahan,Lembah Alas
1102132004,Kelurahan,Tenembak Lang-Lang
1102132005,Kelurahan,Salang Sigotom
1102132006,Kelurahan,Tualang Lama
1102132007,Kelurahan,Gusung Batu
1102132008,Kelurahan,Kaya Pangur
1102132009,Kelurahan,Sepakat
1102132010,Kelurahan,Lawe Pangkat
1102132011,Kelurahan,Bunga Melur
1102132012,Kelurahan,Penampaan
1102132013,Kelurahan,Terutung Mbelang
1102132014,Kelurahan,Salang Muara
1102132015,Kelurahan,Lawe Hakhum
1102132016,Kelurahan,Tanoh Khukahen
1102132017,Kelurahan,Tading Ni Ulihi
1102132018,Kelurahan,Peseluk Pesimbe
1102132019,Kelurahan,Kane Lot
1102132020,Kelurahan,Muhajirin
1102132021,Kelurahan,Beriring Naru
1102132022,Kelurahan,Kati  Jeroh
110214,Kecamatan,Lawe Sumur
1102142001,Kelurahan,Terutung Megara Lawe Pasaran
1102142002,Kelurahan,Kisam Gabungan
1102142003,Kelurahan,Kisam Kute Pasir
1102142004,Kelurahan,Lawe Sumur
1102142005,Kelurahan,Lawe Sumur Baru
1102142006,Kelurahan,Kute Lesung
1102142007,Kelurahan,Berandang
1102142008,Kelurahan,Kute Bunin
1102142009,Kelurahan,Buah Pala
1102142010,Kelurahan,Panosan
1102142011,Kelurahan,Lawe Pasaran Tengku Mbelin
1102142012,Kelurahan,Terutung Megahke MBakhu
1102142013,Kelurahan,Kisam Lestari
1102142014,Kelurahan,Kisam Kute Rambe
1102142015,Kelurahan,Lawe Polak
1102142016,Kelurahan,Lawes Sumur Sepakat
1102142017,Kelurahan,Setia Baru
1102142018,Kelurahan,Teger Miko
110215,Kecamatan,Tanoh Alas
1102152001,Kelurahan,Salim Pinim I
1102152002,Kelurahan,Jambur Damar
1102152003,Kelurahan,Alur Langsat
1102152004,Kelurahan,Rambah Sayang
1102152006,Kelurahan,Rumah Luar
1102152007,Kelurahan,Tenembak  Alas
1102152008,Kelurahan,Lawe Tungkal
1102152009,Kelurahan,Salim Pinim II
1102152010,Kelurahan,Jambukh Pekhmate
1102152011,Kelurahan,Khutung Mbelang
1102152012,Kelurahan,Timang Rasa
1102152013,Kelurahan,Stambul Jaya
1102152014,Kelurahan,Alur Nangke
1102152015,Kelurahan,Kute Mejile
110216,Kecamatan,Leuser
1102162001,Kelurahan,Bintang Alga Musara
1102162002,Kelurahan,Bintang Bukit Indah
1102162003,Kelurahan,Tanjung Sari
1102162004,Kelurahan,Bun-bun Alas
1102162005,Kelurahan,Naga Timbul
1102162006,Kelurahan,Gunung Pak-Pak
1102162007,Kelurahan,Bukit Meriah
1102162008,Kelurahan,Permata Musara
1102162009,Kelurahan,Laut Tawar
1102162010,Kelurahan,Kane Mende
1102162011,Kelurahan,Lawe Sekhakut
1102162012,Kelurahan,Bunbun Indah
1102162013,Kelurahan,Suka Damai
