,Kategori Wilayah,Kode Wilayah,Nama Wilayah
280,Kelurahan,1102012024,Pasir Nunggul
281,Kelurahan,1102012025,Cingkham Mekhanggun
282,Kelurahan,1102012026,Pintu Khimbe
283,Kelurahan,1102012027,Lawe Kongker Hilir
284,Kelurahan,1102012028,Pulo Gadung
285,Kelurahan,1102012029,Pasikh Pehkmate
286,Kelurahan,1102012030,Pasikh Nunang
287,Kelurahan,1102012031,Deleng Kukusen
288,Kelurahan,1102022001,Bukit Merdeka
289,Kelurahan,1102022002,Darul Aman
290,Kelurahan,1102022003,Lawe Kesumpat
291,Kelurahan,1102022004,Lawe Tua Gabungan
292,Kelurahan,1102022005,Lawe Sigala II
293,Kelurahan,1102022006,Lawe Sigala Timur
294,Kelurahan,1102022007,Lawe Sigala Barat
295,Kelurahan,1102022008,Suka Damai
296,Kelurahan,1102022009,Kute Tengah
297,Kelurahan,1102022010,Tanah Baru
298,Kelurahan,1102022011,Kedataran  Gabungan
299,Kelurahan,1102022012,Gabungan  Parsaroan
300,Kelurahan,1102022013,Lawe Loning Gabungan
301,Kelurahan,1102022014,Lawe Loning Aman
302,Kelurahan,1102022015,Suka Maju
303,Kelurahan,1102022016,Lawe Tua Makmur
304,Kelurahan,1102022017,Lawe Tua Persatuan
305,Kelurahan,1102022018,Lawe Serke
306,Kelurahan,1102022019,Lawe Rakat
307,Kelurahan,1102022020,Suka Jaya
308,Kelurahan,1102022021,Enmiya Batu Dua Ratus
309,Kelurahan,1102022022,Sebungke
310,Kelurahan,1102022023,Bukit Sepakat
311,Kelurahan,1102022024,Lawe Loning Sepakat
312,Kelurahan,1102022025,Lawe Loning I
313,Kelurahan,1102022026,Gaya Jaya
314,Kelurahan,1102022027,Gelah Musara
315,Kelurahan,1102022028,Mulie Dame
316,Kelurahan,1102022029,Lawe Loning Hakhapen
317,Kelurahan,1102022030,Karya Indah
318,Kelurahan,1102022031,Kayu Mbelin
319,Kelurahan,1102022032,Lawe Sigala Barat Jaya
320,Kelurahan,1102022033,Lawe Pekhidinen
321,Kelurahan,1102022034,Kertimbang
322,Kelurahan,1102022035,Ndauh Nitenggo
323,Kelurahan,1102032001,Bambel Gabungan
324,Kelurahan,1102032002,Kisam
325,Kelurahan,1102032005,Lawe Hijo
326,Kelurahan,1102032006,Pinding
327,Kelurahan,1102032009,Terutung Megara Asli
328,Kelurahan,1102032011,Biak Muli
329,Kelurahan,1102032012,Kute Lang-Lang
330,Kelurahan,1102032013,Pedesi
331,Kelurahan,1102032014,Terutung Payung Hulu
332,Kelurahan,1102032015,Terutung Payung Hilir
333,Kelurahan,1102032016,Tualang Sembilar
334,Kelurahan,1102032017,Kuning I
