code,display
69842003,Structure of left lobe of liver (body structure)
21215008,Structure of left lobe of thymus (body structure)
79163004,Structure of left lobe of thyroid gland (body structure)
76662006,Structure of left lower eyelid (body structure)
48979004,Structure of left lower leg (body structure)
113251008,Structure of left lower lobe anterior segmental bronchus (body structure)
37417000,Structure of left lower lobe bronchial lumen (body structure)
42171008,Structure of left lower lobe lateral segmental bronchus (body structure)
76760009,Structure of left lower lobe medial segmental bronchus (body structure)
41224006,Structure of left lower lobe of lung (body structure)
43851006,Structure of left lower lobe posterior segmental bronchus (body structure)
74806005,Structure of left lower lobe superior segmental bronchus (body structure)
68505006,Structure of left lower quadrant of abdomen (body structure)
70253006,Structure of left main branch of portal vein (body structure)
29294009,Structure of left margin of heart (body structure)
38246006,Structure of left margin of tongue (body structure)
253951004,Structure of left margin of uterus (body structure)
442068004,Structure of left medial rectus muscle (body structure)
369353001,Structure of left middle cerebral artery (body structure)
259343000,Structure of left ovarian vein (body structure)
43981004,Structure of left ovary (body structure)
90986007,Structure of left parietal pleura (body structure)
441663006,Structure of left parotid duct (body structure)
44178003,Structure of left parotid gland (body structure)
44067009,Structure of left pleural cavity (body structure)
369301009,Structure of left posterior cerebral artery (body structure)
56322004,Structure of left posterior descending branch of circumflex branch of left coronary artery (body structure)
91085002,Structure of left posterior division of left branch of atrioventricular bundle (body structure)
57823005,Structure of left posterior lateral branch of circumflex branch of left coronary artery (body structure)
214912001,Structure of left posterior tibial artery (body structure)
50408007,Structure of left pulmonary artery (body structure)
27706005,Structure of left pulmonary vein (body structure)
368504007,Structure of left radial artery (body structure)
421318008,Structure of left renal apical segmental artery (body structure)
275309004,Structure of left renal artery (body structure)
38594006,Structure of left renal pelvis (body structure)
275809009,Structure of left renal vein (body structure)
42320003,Structure of left seminal vesicle (body structure)
91775009,Structure of left shoulder region (body structure)
416011007,Structure of left side of abdomen (body structure)
83272003,Structure of left side of face (body structure)
17398003,Structure of left side of heart (body structure)
61379005,Structure of left side of trunk (body structure)
89850000,Structure of left side of vulva (body structure)
36371001,Structure of left sinus of Valsalva (body structure)
53245003,Structure of left spermatic cord (body structure)
80081002,Structure of left subapical segmental bronchus (body structure)
85235006,Structure of left subclavian artery (body structure)
64303008,Structure of left sublingual gland (body structure)
48065005,Structure of left submaxillary gland (body structure)
368062000,Structure of left superior intercostal vein (body structure)
40941005,Structure of left superior parathyroid gland (body structure)
248792009,Structure of left suprarenal vein (body structure)
367708009,Structure of left testicular vein (body structure)
63239009,Structure of left testis (body structure)
61396006,Structure of left thigh (body structure)
43999007,Structure of left thoracic cavity (body structure)
43903004,Structure of left triangular ligament (body structure)
368506009,Structure of left ulnar artery (body structure)
308833008,Structure of left umbilical vein (body structure)
65820005,Structure of left upper eyelid (body structure)
51237004,Structure of left upper lobe anterior segmental bronchus (body structure)
81207001,Structure of left upper lobe bronchial lumen (body structure)
44714003,Structure of left upper lobe of lung (body structure)
86367003,Structure of left upper quadrant of abdomen (body structure)
26559004,Structure of left ureter (body structure)
251201007,Structure of left ureteral orifice (body structure)
14149005,Structure of left vas deferens (body structure)
43101003,Structure of left ventricular fold of larynx (body structure)
369355008,Structure of left vertebral artery (body structure)
49310007,Structure of left visceral pleura (body structure)
370096007,Structure of left wall of anal canal (body structure)
251028007,Structure of left wall of urinary bladder (body structure)
5951000,Structure of left wrist (body structure)
77155007,Structure of lens capsule (body structure)
78076003,Structure of lens of eye (body structure)
88258005,Structure of lens of left eye (body structure)
72345007,Structure of lens of right eye (body structure)
83638000,Structure of lens plate and lens vesicle (body structure)
369189000,Structure of lenticular fasciculus (body structure)
40085005,Structure of lenticular portion of posterior limb of internal capsule (body structure)
59417004,Structure of lenticular process of incus (body structure)
61047005,Structure of lesser alar cartilages (body structure)
44859000,Structure of lesser circulus arteriosus of iris (body structure)
80085006,Structure of lesser curvature of stomach (body structure)
81298002,Structure of lesser horn of hyoid bone (body structure)
48598007,Structure of lesser posterior rectus capitis muscle (body structure)
18938009,Structure of lesser sciatic foramen (body structure)
10417008,Structure of lesser sciatic notch (body structure)
58931002,Structure of lesser splanchnic nerve (body structure)
57421003,Structure of lesser superficial petrosal nerve (body structure)
66106009,Structure of lesser supraclavicular fossa (body structure)
55499008,Structure of lesser trochanter of femur (body structure)
4621004,Structure of lesser tuberosity of humerus (body structure)
89953002,Structure of lesser wing of sphenoid bone (body structure)
27833004,Structure of levator anguli oris muscle (body structure)
79349002,Structure of levator ani muscle (body structure)
16161000,Structure of levator costae brevis muscle (body structure)
59188008,Structure of levator costae longus muscle (body structure)
73930003,Structure of levator costae muscle (body structure)
34834006,Structure of levator glandulae thyroideae muscle (body structure)
49147000,Structure of levator labii superioris alaeque nasi muscle (body structure)
10062000,Structure of levator labii superioris muscle (body structure)
367749009,Structure of levator prostatae muscle (body structure)
11327007,Structure of levator scapulae muscle (body structure)
57314004,Structure of levator veli palatini muscle (body structure)
52082005,Structure of ligament (body structure)
91684004,Structure of ligament AND/OR fascia (body structure)
56971001,Structure of ligament of acromioclavicular joint (body structure)
67211007,Structure of ligament of ankle joint (body structure)
90274004,Structure of ligament of auricle (body structure)
368249006,Structure of ligament of carpometacarpal joint (body structure)
7936005,Structure of ligament of diaphragm (body structure)
87183004,Structure of ligament of distal tibiofibular joint (body structure)
87218006,Structure of ligament of elbow joint (body structure)
76125008,Structure of ligament of epididymis (body structure)
123861005,Structure of ligament of foot (body structure)
123858009,Structure of ligament of hand (body structure)
244580001,Structure of ligament of head and neck (body structure)
41987009,Structure of ligament of hip joint (body structure)
314256008,Structure of ligament of incus (body structure)
63587003,Structure of ligament of interphalangeal joint of foot (body structure)
368451007,Structure of ligament of interphalangeal joint of hand (body structure)
123859001,Structure of ligament of joint (body structure)
68010000,Structure of ligament of knee joint (body structure)
6073002,Structure of ligament of left superior vena cava (body structure)
262018003,Structure of ligament of liver (body structure)
27727000,Structure of ligament of lower extremity (body structure)
6828005,Structure of ligament of lumbosacral joint (body structure)
314254006,Structure of ligament of malleus (body structure)
47781008,Structure of ligament of metacarpophalangeal joint (body structure)
49720000,Structure of ligament of metatarsophalangeal joint (body structure)
77030004,Structure of ligament of midcarpal joint (body structure)
47246007,Structure of ligament of midtarsal joint (body structure)
72579007,Structure of ligament of neck (body structure)
244605003,Structure of ligament of pelvic girdle (body structure)
67115009,Structure of ligament of perineum (body structure)
50692009,Structure of ligament of proximal tibiofibular joint (body structure)
46657002,Structure of ligament of radiocarpal joint (body structure)
76137005,Structure of ligament of sacrococcygeal joint (body structure)
8464009,Structure of ligament of sacroiliac joint and pubic symphysis (body structure)
41821009,Structure of ligament of shoulder and upper extremity (body structure)
50024002,Structure of ligament of shoulder joint (body structure)
123860006,Structure of ligament of spine (body structure)
85499001,Structure of ligament of sternoclavicular joint (body structure)
49855009,Structure of ligament of superior radioulnar joint (body structure)
52007002,Structure of ligament of talocalcaneonavicular joint (body structure)
51193008,Structure of ligament of tarsometatarsal joint (body structure)
16563005,Structure of ligament of the head of the femur (body structure)
77638007,Structure of ligament of trunk (body structure)
123857004,Structure of ligament of wrist joint (body structure)
2160002,Structure of ligamentum arteriosum (body structure)
17051003,Structure of ligamentum flavum (body structure)
91557006,Structure of ligamentum inguinale reflexum (body structure)
6404004,Structure of ligamentum nuchae (body structure)
1684009,Structure of ligamentum teres of liver (body structure)
262307008,Structure of ligamentum venosum of liver (body structure)
279209006,Structure of limbic gyrus (body structure)
36284007,Structure of limbus of bony spiral lamina (body structure)
84712000,Structure of limbus of fossa ovalis (body structure)
113301001,Structure of limen insulae (body structure)
20968000,Structure of limen nasi (body structure)
8024004,Structure of limitans nucleus (body structure)
54418007,Structure of linea alba of rectum (body structure)
30758006,Structure of linea terminalis of pelvis (body structure)
113264009,Structure of lingual artery (body structure)
110580004,Structure of lingual cusp (body structure)
7344002,Structure of lingual gyrus (body structure)
6598008,Structure of lingual nerve (body structure)
69070000,Structure of lingual papillae (body structure)
72203008,Structure of lingual surface of tooth (body structure)
40880001,Structure of lingual vein (body structure)
50837003,Structure of lingula of left lung (body structure)
55219005,Structure of lingular branch of left pulmonary artery (body structure)
22617008,Structure of lingular branch of superior left pulmonary vein (body structure)
64720009,Structure of lingular bronchus (body structure)
367610000,Structure of Littré gland (body structure)
274060004,Structure of lobar artery of kidney (body structure)
90597002,Structure of lobe of brain (body structure)
68219007,Structure of lobe of breast (body structure)
362899007,Structure of lobe of left lung (body structure)
31094006,Structure of lobe of lung (body structure)
30181001,Structure of lobe of parotid gland (body structure)
113295002,Structure of lobe of prostate (body structure)
362898004,Structure of lobe of right lung (body structure)
119281005,Structure of lobe of thyroid gland (body structure)
367597008,Structure of lobular bronchiole (body structure)
67452000,Structure of lobule of epididymis (body structure)
66268002,Structure of lobule of parotid gland (body structure)
113297005,Structure of lobule of testis (body structure)
11548008,Structure of locus ceruleus (body structure)
113193004,Structure of long bone (body structure)
400143008,Structure of long bone of lower limb (body structure)
400194001,Structure of long bone of upper limb (body structure)
21940008,Structure of long head of biceps brachii muscle (body structure)
55190004,Structure of long head of biceps femoris muscle (body structure)
22072006,Structure of long head of triceps brachii muscle (body structure)
86230008,Structure of long insular gyrus (body structure)
10655005,Structure of long plantar ligament (body structure)
368802002,Structure of long posterior ciliary artery (body structure)
29333002,Structure of long process of incus (body structure)
42203004,Structure of long thoracic nerve (body structure)
61134003,Structure of longissimus capitis muscle (body structure)
50059002,Structure of longissimus cervicis muscle (body structure)
88340001,Structure of longissimus muscle (body structure)
24796008,Structure of longissimus thoracis muscle (body structure)
86509003,Structure of longitudinal arch of foot (body structure)
61749000,Structure of longitudinal canal of modiolus (body structure)
86766005,Structure of longitudinal cerebral fissure (body structure)
24946003,Structure of longitudinal fasciculus of pons (body structure)
72868005,Structure of longitudinal layer of colonic muscularis propria (body structure)
424477009,Structure of longitudinal ligament (body structure)
35752005,Structure of longus capitis muscle (body structure)
128594000,Structure of low right atrium (body structure)
77491006,Structure of lower abdominal quadrant (body structure)
6912001,Structure of lower alveolar ridge mucosa (body structure)
275005004,Structure of lower anterior segmental branch of renal artery (body structure)
418643001,Structure of lower buccal frenum (body structure)
113308007,Structure of lower cervical spinal cord (body structure)
53851002,Structure of lower female genitourinary tract (body structure)
19100000,Structure of lower inner quadrant of breast (body structure)
42696005,Structure of lower left intermediate incisor tooth (body structure)
410761000,Structure of lower limb fascial compartment (body structure)
90572001,Structure of lower lobe of lung (body structure)
15813001,Structure of lower nephron (body structure)
33564002,Structure of lower outer quadrant of breast (body structure)
24923000,Structure of lower right intermediate incisor tooth (body structure)
274911006,Structure of lower segmental branch of renal artery (body structure)
67173009,Structure of lower third of esophagus (body structure)
91743006,Structure of lower third of trachea (body structure)
65857004,Structure of lower third of vagina (body structure)
73025004,Structure of lower thoracic spinal cord (body structure)
367612008,Structure of lower uterine segment (body structure)
34635009,Structure of lumbar artery (body structure)
24639009,Structure of lumbar ganglia (body structure)
23526008,Structure of lumbar intervertebral disc (body structure)
8334002,Structure of lumbar lymph node (body structure)
344941004,Structure of lumbar myotome (body structure)
87432006,Structure of lumbar nerve dorsal primary division (body structure)
313863005,Structure of lumbar nerve lateral branch (body structure)
77979005,Structure of lumbar nerve medial branch (body structure)
77305008,Structure of lumbar part of diaphragm (body structure)
60791006,Structure of lumbar portion of sympathetic nervous system (body structure)
9229006,Structure of lumbar rotator muscle (body structure)
52225003,Structure of lumbar spinal canal (body structure)
77513005,Structure of lumbar spinal nerve (body structure)
41077007,Structure of lumbar splanchnic nerve (body structure)
9384000,Structure of lumbar vein (body structure)
78015006,Structure of lumbocostal ligament (body structure)
77120005,Structure of lumbosacral joint (body structure)
