system,code,display,definition
http://terminology.hl7.org/CodeSystem/v3-Race,1200-5,Machis Lower Creek Indian,Machis Lower Creek Indian
http://terminology.hl7.org/CodeSystem/v3-Race,1201-3,Poarch Band,Poarch Band
http://terminology.hl7.org/CodeSystem/v3-Race,1202-1,Principal Creek Indian Nation,Principal Creek Indian Nation
http://terminology.hl7.org/CodeSystem/v3-Race,1203-9,Star Clan of Muscogee Creeks,Star Clan of Muscogee Creeks
http://terminology.hl7.org/CodeSystem/v3-Race,1204-7,Thlopthlocco,Thlopthlocco
http://terminology.hl7.org/CodeSystem/v3-Race,1205-4,Tuckabachee,Tuckabachee
http://terminology.hl7.org/CodeSystem/v3-Race,1207-0,Croatan,Croatan
http://terminology.hl7.org/CodeSystem/v3-Race,1209-6,Crow,Crow
http://terminology.hl7.org/CodeSystem/v3-Race,1211-2,Cupeno,Cupeno
http://terminology.hl7.org/CodeSystem/v3-Race,1212-0,Agua Caliente,Agua Caliente
http://terminology.hl7.org/CodeSystem/v3-Race,1214-6,Delaware,Delaware
http://terminology.hl7.org/CodeSystem/v3-Race,1215-3,Eastern Delaware,Eastern Delaware
http://terminology.hl7.org/CodeSystem/v3-Race,1216-1,Lenni-Lenape,Lenni-Lenape
http://terminology.hl7.org/CodeSystem/v3-Race,1217-9,Munsee,Munsee
http://terminology.hl7.org/CodeSystem/v3-Race,1218-7,Oklahoma Delaware,Oklahoma Delaware
http://terminology.hl7.org/CodeSystem/v3-Race,1219-5,Rampough Mountain,Rampough Mountain
http://terminology.hl7.org/CodeSystem/v3-Race,1220-3,Sand Hill,Sand Hill
http://terminology.hl7.org/CodeSystem/v3-Race,1222-9,Diegueno,Diegueno
http://terminology.hl7.org/CodeSystem/v3-Race,1223-7,Campo,Campo
http://terminology.hl7.org/CodeSystem/v3-Race,1224-5,Capitan Grande,Capitan Grande
http://terminology.hl7.org/CodeSystem/v3-Race,1225-2,Cuyapaipe,Cuyapaipe
http://terminology.hl7.org/CodeSystem/v3-Race,1226-0,La Posta,La Posta
http://terminology.hl7.org/CodeSystem/v3-Race,1227-8,Manzanita,Manzanita
http://terminology.hl7.org/CodeSystem/v3-Race,1228-6,Mesa Grande,Mesa Grande
http://terminology.hl7.org/CodeSystem/v3-Race,1229-4,San Pasqual,San Pasqual
http://terminology.hl7.org/CodeSystem/v3-Race,1230-2,Santa Ysabel,Santa Ysabel
http://terminology.hl7.org/CodeSystem/v3-Race,1231-0,Sycuan,Sycuan
http://terminology.hl7.org/CodeSystem/v3-Race,1233-6,Eastern Tribes,Eastern Tribes
http://terminology.hl7.org/CodeSystem/v3-Race,1234-4,Attacapa,Attacapa
http://terminology.hl7.org/CodeSystem/v3-Race,1235-1,Biloxi,Biloxi
http://terminology.hl7.org/CodeSystem/v3-Race,1236-9,Georgetown,Georgetown
http://terminology.hl7.org/CodeSystem/v3-Race,1237-7,Moor,Moor
http://terminology.hl7.org/CodeSystem/v3-Race,1238-5,Nansemond,Nansemond
http://terminology.hl7.org/CodeSystem/v3-Race,1239-3,Natchez,Natchez
http://terminology.hl7.org/CodeSystem/v3-Race,1240-1,Nausu Waiwash,Nausu Waiwash
http://terminology.hl7.org/CodeSystem/v3-Race,1241-9,Nipmuc,Nipmuc
http://terminology.hl7.org/CodeSystem/v3-Race,1242-7,Paugussett,Paugussett
http://terminology.hl7.org/CodeSystem/v3-Race,1243-5,Pocomoke Acohonock,Pocomoke Acohonock
http://terminology.hl7.org/CodeSystem/v3-Race,1244-3,Southeastern Indians,Southeastern Indians
http://terminology.hl7.org/CodeSystem/v3-Race,1245-0,Susquehanock,Susquehanock
http://terminology.hl7.org/CodeSystem/v3-Race,1246-8,Tunica Biloxi,Tunica Biloxi
http://terminology.hl7.org/CodeSystem/v3-Race,1247-6,Waccamaw-Siousan,Waccamaw-Siousan
http://terminology.hl7.org/CodeSystem/v3-Race,1248-4,Wicomico,Wicomico
http://terminology.hl7.org/CodeSystem/v3-Race,1250-0,Esselen,Esselen
http://terminology.hl7.org/CodeSystem/v3-Race,1252-6,Fort Belknap,Fort Belknap
http://terminology.hl7.org/CodeSystem/v3-Race,1254-2,Fort Berthold,Fort Berthold
http://terminology.hl7.org/CodeSystem/v3-Race,1256-7,Fort Mcdowell,Fort Mcdowell
http://terminology.hl7.org/CodeSystem/v3-Race,1258-3,Fort Hall,Fort Hall
http://terminology.hl7.org/CodeSystem/v3-Race,1260-9,Gabrieleno,Gabrieleno
http://terminology.hl7.org/CodeSystem/v3-Race,1262-5,Grand Ronde,Grand Ronde
http://terminology.hl7.org/CodeSystem/v3-Race,1264-1,Gros Ventres,Gros Ventres
http://terminology.hl7.org/CodeSystem/v3-Race,1265-8,Atsina,Atsina
http://terminology.hl7.org/CodeSystem/v3-Race,1267-4,Haliwa,Haliwa
http://terminology.hl7.org/CodeSystem/v3-Race,1269-0,Hidatsa,Hidatsa
http://terminology.hl7.org/CodeSystem/v3-Race,1271-6,Hoopa,Hoopa
http://terminology.hl7.org/CodeSystem/v3-Race,1272-4,Trinity,Trinity
http://terminology.hl7.org/CodeSystem/v3-Race,1273-2,Whilkut,Whilkut
http://terminology.hl7.org/CodeSystem/v3-Race,1275-7,Hoopa Extension,Hoopa Extension
http://terminology.hl7.org/CodeSystem/v3-Race,1277-3,Houma,Houma
http://terminology.hl7.org/CodeSystem/v3-Race,1279-9,Inaja-Cosmit,Inaja-Cosmit
http://terminology.hl7.org/CodeSystem/v3-Race,1281-5,Iowa,Iowa
http://terminology.hl7.org/CodeSystem/v3-Race,1282-3,Iowa of Kansas-Nebraska,Iowa of Kansas-Nebraska
http://terminology.hl7.org/CodeSystem/v3-Race,1283-1,Iowa of Oklahoma,Iowa of Oklahoma
http://terminology.hl7.org/CodeSystem/v3-Race,1285-6,Iroquois,Iroquois
http://terminology.hl7.org/CodeSystem/v3-Race,1286-4,Cayuga,Cayuga
http://terminology.hl7.org/CodeSystem/v3-Race,1287-2,Mohawk,Mohawk
http://terminology.hl7.org/CodeSystem/v3-Race,1288-0,Oneida,Oneida
http://terminology.hl7.org/CodeSystem/v3-Race,1289-8,Onondaga,Onondaga
http://terminology.hl7.org/CodeSystem/v3-Race,1290-6,Seneca,Seneca
http://terminology.hl7.org/CodeSystem/v3-Race,1291-4,Seneca Nation,Seneca Nation
http://terminology.hl7.org/CodeSystem/v3-Race,1292-2,Seneca-Cayuga,Seneca-Cayuga
http://terminology.hl7.org/CodeSystem/v3-Race,1293-0,Tonawanda Seneca,Tonawanda Seneca
http://terminology.hl7.org/CodeSystem/v3-Race,1294-8,Tuscarora,Tuscarora
http://terminology.hl7.org/CodeSystem/v3-Race,1295-5,Wyandotte,Wyandotte
http://terminology.hl7.org/CodeSystem/v3-Race,1297-1,Juaneno,Juaneno
http://terminology.hl7.org/CodeSystem/v3-Race,1299-7,Kalispel,Kalispel
http://terminology.hl7.org/CodeSystem/v3-Race,1301-1,Karuk,Karuk
http://terminology.hl7.org/CodeSystem/v3-Race,1303-7,Kaw,Kaw
http://terminology.hl7.org/CodeSystem/v3-Race,1305-2,Kickapoo,Kickapoo
http://terminology.hl7.org/CodeSystem/v3-Race,1306-0,Oklahoma Kickapoo,Oklahoma Kickapoo
http://terminology.hl7.org/CodeSystem/v3-Race,1307-8,Texas Kickapoo,Texas Kickapoo
http://terminology.hl7.org/CodeSystem/v3-Race,1309-4,Kiowa,Kiowa
http://terminology.hl7.org/CodeSystem/v3-Race,1310-2,Oklahoma Kiowa,Oklahoma Kiowa
