code,display,system
2151005,Pyridoxamine-pyruvate aminotransferase,http://snomed.info/sct
2154002,Tagaturonate reductase,http://snomed.info/sct
2159007,Azorubin S stain,http://snomed.info/sct
2163000,Dicofol,http://snomed.info/sct
2168009,Bisphosphoglycerate mutase,http://snomed.info/sct
2179004,Malonate-semialdehyde dehydratase,http://snomed.info/sct
2183004,Tetryzoline,http://snomed.info/sct
2189000,Hemoglobin F-Dammam,http://snomed.info/sct
2190009,Benzhexol,http://snomed.info/sct
2194000,^101^Rhodium,http://snomed.info/sct
2195004,Tocainide hydrochloride,http://snomed.info/sct
2197007,Boric acid topical agent,http://snomed.info/sct
2201007,Bacteriopurpurin,http://snomed.info/sct
2208001,Phenylserine aldolase,http://snomed.info/sct
2212007,Fibrinogen Bethesda II,http://snomed.info/sct
2215009,Azuresin,http://snomed.info/sct
2240002,Guanidinobutyrase,http://snomed.info/sct
2249001,Gentamicin sulfate,http://snomed.info/sct
2254005,Orotate,http://snomed.info/sct
2260005,Human leukocyte antigen DRw18,http://snomed.info/sct
2262002,Cellulose polysulfatase,http://snomed.info/sct
2264001,Selenium isotope,http://snomed.info/sct
2309006,Gold,http://snomed.info/sct
2311002,Prostacyclin synthase,http://snomed.info/sct
2329007,Blood group antibody Vel,http://snomed.info/sct
2331003,Saccharide,http://snomed.info/sct
2338009,Root,http://snomed.info/sct
2343002,Guthion,http://snomed.info/sct
2346005,Vascormone,http://snomed.info/sct
2354007,3'-Nucleotidase,http://snomed.info/sct
2358005,"Glass fragment, device",http://snomed.info/sct
2369008,Indole-3-acetate beta-glucosyltransferase,http://snomed.info/sct
2370009,Uridine diphosphate-N-acetylmuramate-alanine ligase,http://snomed.info/sct
2376003,Mercury compound,http://snomed.info/sct
2384004,^230^Uranium,http://snomed.info/sct
2404002,Blood group antibody St^a^,http://snomed.info/sct
2405001,b- Propiolactone,http://snomed.info/sct
2414006,Prolactin receptor,http://snomed.info/sct
2430003,Silicon radioisotope,http://snomed.info/sct
2431004,Blood group antibody Friedberg,http://snomed.info/sct
2441001,Mercury radioisotope,http://snomed.info/sct
2444009,Human leukocyte antigen Dw25,http://snomed.info/sct
2450004,Mannosamine,http://snomed.info/sct
2462000,Glucose dehydrogenase (nicotinamide adenine dinucleotide phosphate ^+^),http://snomed.info/sct
2466002,Chloride peroxidase,http://snomed.info/sct
2500009,Lymphocyte antigen CDw41b,http://snomed.info/sct
2509005,D-Glutamate oxidase,http://snomed.info/sct
2516006,Metallic sulfide compound,http://snomed.info/sct
2522002,Extravascular blood,http://snomed.info/sct
2529006,Hemoglobin Wood,http://snomed.info/sct
2537003,Antituberculosis agent,http://snomed.info/sct
2568004,Blood group antigen McAuley,http://snomed.info/sct
2573005,"Immunoglobulin, GM>13< allotype",http://snomed.info/sct
2575003,Zinc alpha-2 glycoprotein,http://snomed.info/sct
2595009,^119m^Tellurium,http://snomed.info/sct
2597001,Alpha-1 globulin,http://snomed.info/sct
2611008,Blood group antibody La Fave,http://snomed.info/sct
2637006,Indium isotope,http://snomed.info/sct
2648004,Bile vomitus,http://snomed.info/sct
2649007,Azo-dye,http://snomed.info/sct
2660003,Sodium dehydrocholate,http://snomed.info/sct
2671002,3-Methyl-2-oxobutanoate hydroxy-methyltransferase,http://snomed.info/sct
2674005,^128^Cesium,http://snomed.info/sct
2676007,C3(H20),http://snomed.info/sct
2678008,Hemoglobin New Mexico,http://snomed.info/sct
2680002,Factor XIII antibody,http://snomed.info/sct
2698003,Natural gas,http://snomed.info/sct
2705002,Arsenic-72,http://snomed.info/sct
2706001,Blood group antigen Vennera,http://snomed.info/sct
2719002,Tartrate dehydratase,http://snomed.info/sct
2721007,Blood group antigen McC^f^,http://snomed.info/sct
2728001,Lewis system antigen,http://snomed.info/sct
2753003,Blood group antibody M>1<,http://snomed.info/sct
2754009,Hemoglobin F-Kennestone,http://snomed.info/sct
2765004,SC3 (ISBT symbol),http://snomed.info/sct
2778004,Pleural fluid,http://snomed.info/sct
2796008,Methanthelinium,http://snomed.info/sct
2799001,Methylbenzethonium chloride,http://snomed.info/sct
2823004,Hemoglobin Bristol,http://snomed.info/sct
2832002,Molybdenum compound,http://snomed.info/sct
2846002,Hemoglobin Saitama,http://snomed.info/sct
2869004,Acetic acid,http://snomed.info/sct
2878005,Pethidine hydrochloride,http://snomed.info/sct
2883002,Exopolygalacturonate lyase,http://snomed.info/sct
2913009,Immunoglobulin Epsilon chain,http://snomed.info/sct
2916001,^22^Neon,http://snomed.info/sct
2925007,Fluoromethalone,http://snomed.info/sct
2938004,Pyrazole,http://snomed.info/sct
2942001,Carbon (14-C) xylose,http://snomed.info/sct
2944000,Depilatory agent,http://snomed.info/sct
2949005,Diagnostic agents,http://snomed.info/sct
2950005,Hemoglobin L-Persian Gulf,http://snomed.info/sct
2958003,Zinc caprylate,http://snomed.info/sct
2964005,Dimethoxyamphetamine,http://snomed.info/sct
2974008,Trichophyton schoenleinii collagenase,http://snomed.info/sct
2988007,Human leukocyte antigen Aw,http://snomed.info/sct
2991007,Mecamylamine hydrochloride,http://snomed.info/sct
2995003,Arecoline,http://snomed.info/sct
3027009,^133^Barium,http://snomed.info/sct
3037004,Flumethasone preparation,http://snomed.info/sct
3040004,Technetium (99m-Tc) disofenin,http://snomed.info/sct
3045009,Nitrochlorobenzene,http://snomed.info/sct
3046005,Enalapril maleate,http://snomed.info/sct
3052006,Ornithine ketoacid aminotransferase,http://snomed.info/sct
3066001,Triiodothyroacetic acid,http://snomed.info/sct
3070009,Aspartate-ammonia ligase,http://snomed.info/sct
3087006,Oil of male fern,http://snomed.info/sct
3107005,Hemoglobin Shuangfeng,http://snomed.info/sct
3108000,Aspergillus deoxyribonuclease K>1<,http://snomed.info/sct
3131000,Blood group antigen Middel,http://snomed.info/sct
3136005,Cefoperazone sodium,http://snomed.info/sct
3142009,Azacyclonol,http://snomed.info/sct
3145006,Penicillic acid,http://snomed.info/sct
3150000,Sialate O-acetylesterase,http://snomed.info/sct
3151001,Left upper lobe mucus,http://snomed.info/sct
3155005,3-Phosphoglyceroyl-phosphate-polyphosphate phosphotransferase,http://snomed.info/sct
3161008,3-Methylhistidine,http://snomed.info/sct
3167007,Hard coal,http://snomed.info/sct
3187008,Blood group antigen Nielsen,http://snomed.info/sct
3193000,"alpha-1,4-Glucan-protein synthase (uridine diphosphate-forming)",http://snomed.info/sct
3197004,Inosine monophosphate,http://snomed.info/sct
3209002,Pancuronium sodium,http://snomed.info/sct
3221003,Ringer solution,http://snomed.info/sct
3225007,Fibrinogen Seattle I,http://snomed.info/sct
3232003,o-Benzyl-parachlorophenol,http://snomed.info/sct
3271000,Hemoglobin Southampton,http://snomed.info/sct
3273002,Tyrosine-ester sulfotransferase,http://snomed.info/sct
3300001,Euphorbain,http://snomed.info/sct
3318003,Vaginal secretions,http://snomed.info/sct
3325005,Lipopolysaccharide,http://snomed.info/sct
3339005,(R)-20-Hydroxysteroid dehydrogenase,http://snomed.info/sct
3340007,Diastase,http://snomed.info/sct
3342004,Copper isotope,http://snomed.info/sct
3346001,Hemoglobin Brest,http://snomed.info/sct
3361000,Anti-heparin agent,http://snomed.info/sct
3378009,Imipramine hydrochloride,http://snomed.info/sct
3379001,Merthiolate,http://snomed.info/sct
3392003,Aldehyde dehydrogenase (acceptor),http://snomed.info/sct
3405005,2-Hydroxy-3-oxoadipate synthase,http://snomed.info/sct
3411008,bis-(Dimethylthiocarbamyl) disulfide,http://snomed.info/sct
3437006,Hydroxymethylglutaryl-coenzyme A hydrolase,http://snomed.info/sct
3440006,Biotin carboxylase,http://snomed.info/sct
3455002,Discontinued pesticide,http://snomed.info/sct
3463001,L-Amino-acid dehydrogenase,http://snomed.info/sct
3465008,Deoxyribonucleic acid topoisomerase (adenosine triphosphate [ATP]-hydrolysing),http://snomed.info/sct
3492002,Galactinol-sucrose galactosyltransferase,http://snomed.info/sct
3493007,Smegma clitoridis,http://snomed.info/sct
3495000,Cystine aminopeptidase,http://snomed.info/sct
3501003,Isoxsuprine hydrochloride,http://snomed.info/sct
3523004,Hemoglobin Q-India,http://snomed.info/sct
3526007,"Rabies vaccine, human",http://snomed.info/sct
3532002,Laryngeal mucus,http://snomed.info/sct
3555004,Blood group antigen Morrison,http://snomed.info/sct
3579002,^129^Cesium,http://snomed.info/sct
3581000,Glucose-6-phosphatase,http://snomed.info/sct
3587001,Malate dehydrogenase (decarboxylating),http://snomed.info/sct
3588006,Complement enzyme,http://snomed.info/sct
3592004,Short-acting thyroid stimulator,http://snomed.info/sct
3597005,Acebutolol hydrochloride,http://snomed.info/sct
3601005,Ether solvent,http://snomed.info/sct
3602003,Warm antibody,http://snomed.info/sct
3610002,Epoxide hydrolase,http://snomed.info/sct
3617004,^79^Selenium,http://snomed.info/sct
3648007,Glucocorticoid receptor,http://snomed.info/sct
3655009,Hb - Hemoglobin Constant Spring,http://snomed.info/sct
3672002,Fibrinogen Caracas,http://snomed.info/sct
3684000,Phenylacetic acid,http://snomed.info/sct
3689005,Hemoglobin Mizushi,http://snomed.info/sct
3693004,Fibrinogen Dusart,http://snomed.info/sct
3702007,Cytidine diphosphate (CDP) glycerol glycerophosphotransferase,http://snomed.info/sct
3710008,Prostaglandin-endoperoxide synthase,http://snomed.info/sct
3718001,Cow's milk,http://snomed.info/sct
3726009,Valine-transfer ribonucleic acid ligase,http://snomed.info/sct
3727000,Hemoglobin F-Port Royal,http://snomed.info/sct
3730007,Blood group antigen Lanthois,http://snomed.info/sct
3737005,Nitrate reductase (reduced nicotinamide adenine dinucleotide),http://snomed.info/sct
3742002,Extracellular crystal,http://snomed.info/sct
3757009,Gossypol,http://snomed.info/sct
3771001,Neuromelanin,http://snomed.info/sct
3775005,Choline dehydrogenase,http://snomed.info/sct
3776006,Xanthine dehydrogenase,http://snomed.info/sct
3792001,AA - Arachidonic acid,http://snomed.info/sct
3793006,Soluble barium compound,http://snomed.info/sct
3800009,Acetate kinase,http://snomed.info/sct
3807007,RH4 (ISBT symbol),http://snomed.info/sct
3811001,Magnesium-protoporphyrin methyltransferase,http://snomed.info/sct
3812008,Beryllium isotope,http://snomed.info/sct
3814009,Propylthiouracil product,http://snomed.info/sct
3816006,Vanadium isotope,http://snomed.info/sct
3822002,Suxamethonium,http://snomed.info/sct
3823007,Prochlorperazine edisylate,http://snomed.info/sct
3829006,Iron,http://snomed.info/sct
3834005,"CMP-N-acetylneuraminate-(alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl-galactosaminide alpha-2,6-sialyltransferase",http://snomed.info/sct
3836007,Glutaminase,http://snomed.info/sct
3844007,Protoaphin-aglucone dehydratase (cyclizing),http://snomed.info/sct
3848005,Nitrotoluene,http://snomed.info/sct
3854006,bis-Chloro methyl ether,http://snomed.info/sct
3874004,Hydrocodone bitartrate,http://snomed.info/sct
3896005,p-Hydroxybenzoate ester,http://snomed.info/sct
3897001,MNS30 (ISBT symbol),http://snomed.info/sct
3906002,Rectified birch tar oil,http://snomed.info/sct
